lang,name,glottocode,rate,rate_median
DawsonRiver,DawsonRiver,waka1274,3.866657685580396e-06,3.667775934683753e-06
WakaWaka,WakaWaka,waka1274,2.139813474573377e-06,2.07438603716416e-06
Duungidjawu,Duungidjawu,duun1241,2.124023944086498e-06,2.0221210673342646e-06
UpperBrisbaneRiver,UpperBrisbaneRiver,waka1274,2.6158399452533776e-06,2.495709898659298e-06
Bigambal,Bigambal,biga1237,3.1730087043641396e-06,3.0072472887984702e-06
Tenterfield,Tenterfield,yuga1244,2.1960675332966355e-06,2.078842531525555e-06
GlenInnes,GlenInnes,yuga1244,1.666759774049452e-06,1.5860697800236343e-06
Gumbaynggir,Gumbaynggir,kumb1268,1.8826737902857637e-06,1.7769330237592404e-06
Yaygirr,Yaygirr,yayg1236,2.452412726992218e-06,2.323564520580392e-06
Balkurra,Balkurra,yara1254,2.2454358314614765e-06,2.1256553859014845e-06
Ngarrindjeri,Ngarrindjeri,narr1259,3.377443211328688e-06,3.186631013197297e-06
PytuReach,PytuReach,narr1259,1.5371711958849888e-06,1.4433399608285517e-06
Keramin,Keramin,nort2756,2.4712889137414383e-06,2.370232489912776e-06
YithaYitha,YithaYitha,yith1234,3.048557172279033e-06,2.8915573478926787e-06
NedsCornerStation,NedsCornerStation,uppe1415,4.4635620138946685e-06,4.246536900804182e-06
Ngaiawang,Ngaiawang,nort2756,3.0324350423583744e-06,2.783245500611412e-06
Wellington,Wellington,lowe1402,1.3899880089741096e-06,1.2926091236377424e-06
Bindjali,Bindjali,warr1257,1.974931124324689e-06,1.850382282844759e-06
HOPKINSRIVER,HOPKINSRIVER,warr1257,1.7927066886017073e-06,1.67801552395729e-06
Keerraywoorroong,Keerraywoorroong,warr1257,2.7215458323698687e-06,2.611391356266261e-06
Warrnambool,Warrnambool,warr1257,2.6348750320898584e-06,2.4818181956919977e-06
Bunganditj,Bunganditj,bung1264,2.9128838984588758e-06,2.80577979943439e-06
Colac,Colac,cola1237,4.820918038453058e-06,4.656694308994152e-06
Wathawurrung,Wathawurrung,wath1238,2.2781910228229403e-06,2.247312125518798e-06
Gunditjmara,Gunditjmara,west2443,2.668030292279278e-06,2.4859634624184913e-06
Tjapwurrung,Tjapwurrung,west2443,1.5206144788219884e-06,1.4615838653903023e-06
WembaWemba,WembaWemba,west2443,1.9028252086626375e-06,1.8395922066233515e-06
LakeHindmarsh,LakeHindmarsh,wotj1234,1.4395339967590065e-06,1.3574804834748312e-06
MathiMathi,MathiMathi,west2443,3.5040081587563784e-06,3.364155371829772e-06
THETATIARRACOUNTRY,THETATIARRACOUNTRY,west2443,1.6218499142151587e-06,1.5557610770238602e-06
Piangil,Piangil,west2443,5.06264400411428e-06,4.786904835728961e-06
Wathiwathi,Wathiwathi,west2443,2.4662638130513775e-06,2.3623879301357545e-06
Woiwurrung,Woiwurrung,woiw1237,2.3283561888874274e-06,2.2411801490217854e-06
Dhudhuroa,Dhudhuroa,dhud1236,3.526547949102809e-06,3.307118498903125e-06
Pallanganmiddang,Pallanganmiddang,pall1243,1.8338093351589472e-06,1.756554613017796e-06
YabulaYabula,YabulaYabula,yort1237,3.3728769730687636e-06,3.1210426842997926e-06
YortaYorta,YortaYorta,yort1237,1.980469384251145e-06,1.8628457676999979e-06
Dhangu,Dhangu,dhan1270,1.952748368729159e-06,1.8429222771787222e-06
Rirratjingu,Rirratjingu,rirr1238,2.2522657999073994e-06,2.1318477988447036e-06
Dhayyi,Dhayyi,djar1245,2.7208663751830287e-06,2.692588729959182e-06
Dhuwal,Dhuwal,dhuw1249,1.842131433531771e-06,1.7670350373377765e-06
Djambarrpuyngu,Djambarrpuyngu,marr1258,1.942097601737984e-06,1.83940394985996e-06
Djapu,Djapu,djap1238,1.6291211558992527e-06,1.5894190954734922e-06
Dhuwala,Dhuwala,mada1281,2.2406910168260524e-06,2.0602002780482704e-06
Gupapuyngu,Gupapuyngu,gupa1247,2.0902179983922895e-06,1.915136913912911e-06
Gumatj,Gumatj,guma1253,1.7071166706778003e-06,1.6824290468108726e-06
Ritharrngu,Ritharrngu,rita1239,3.2593375679862656e-06,3.1865797491522786e-06
Zorc,Zorc,dhuw1249,1.3019301494234207e-06,1.2743043004445336e-06
Golpa,Golpa,yann1237,1.1959398782223212e-06,1.1383133635748172e-06
Yannhangu,Yannhangu,yann1237,1.5056795280141392e-06,1.3932667959416584e-06
Djinang,Djinang,djin1253,2.4435135729597634e-06,2.3580798597653496e-06
