lang,lang_sister,cherry,n_loans,p_loans,glottocode,area,glottocode_1,glottocode_2,median_distance,mean_distance,mean_distance_water,median_distance_water,area_sister,median_distance_sister,median_distance_water_sister,n_loans_sister,p_loans_sister,area_ratio
Keramin,YithaYitha,89,0,0,nort2756,10567,nort2756,yith1234,182.439,182.947,6004.878,3629.612,9126,194.122,5343.873,0,0,0.146608454953683
KKY,KLY,50,0,0,kala1377,4517,kala1377,kala1377,1,0,6072.707,4676.4,4517,1,4676.4,0,0,0
KLY,KKY,50,0,0,kala1377,4517,kala1377,kala1377,1,0,6072.707,4676.4,4517,1,4676.4,0,0,0
KukuYalanji,GuuguYimidhirr,49,1,0.304878048780488,kuku1273,20634,kuku1273,gugu1255,116.559,113.753,18307.385,10707.563,12785,71.232,8232.935,0,0,0.478667591935034
Kungkari,Pirriya,33,2,1.01010101010101,kuun1236,54577,kuun1236,pirr1240,99.862,110.691,12707.674,11158.812,45632,89.953,7646.761,4,2.40963855421687,0.179003323789007
Kurnu,Paakantyi,34,1,0.386100386100386,darl1243,89919,darl1243,darl1243,264.058,255.809,12876.793,9774.837,59653,222.466,10542.369,6,1.56657963446475,0.410364824429807
Kurrama,Yindjibarndi,13,0,0,kurr1243,18699,kurr1243,yind1247,38.966,42.113,57099.98,56151.595,75170,112.71,26768.636,4,1.08108108108108,-1.39128216869455
KuukThaayorre,YirYoront,46,0,0,thay1249,2837,thay1249,yiry1245,14.616,18.202,290.087,61.2,4311,19.35,950.328,1,0.302114803625378,-0.418422739938283
KuukuYau,Umpila,45,0,0,kuuk1238,12452,kuuk1238,umpi1239,107.199,110.533,7624.198,6260.427,6387,79.847,14695.174,3,0.917431192660551,0.66761657799991
LakeHindmarsh,MathiMathi,94,0,0,wotj1234,33667,wotj1234,west2443,256.493,261.622,32272.686,27317.607,17276,201.176,31493.683,0,0,0.66719987401578
Lardil,Kayardild,68,0,0,lard1243,4012,lard1243,kaya1319,79.288,78.025,2325.315,1545.032,1134,60.494,2065.365,0,0,1.26353866479413
Linngithigh,Alngith,40,0,0,leni1238,7437,leni1238,alng1239,91.016,94.462,4666.319,4183.414,579,23.677,589.486,0,0,2.5529203431303
MangalaMcK,NorthernMangarla,22,25,12.8205128205128,mang1383,88199,mang1383,mang1383,1,0,1e+05,1e+05,88199,1,1e+05,9,3.6,0
Margany,Gunya,57,2,0.655737704918033,marg1253,58673,marg1253,guny1241,147.782,139.569,11891.765,10534.201,43586,80.886,4814.576,4,1.3840830449827,0.297243657215205
MathiMathi,LakeHindmarsh,94,0,0,west2443,17276,west2443,wotj1234,201.176,204.934,39170.419,31493.683,33667,256.493,27317.607,0,0,-0.66719987401578
MayiThakurti,Wanamara,64,0,0,mayk1239,42720,mayk1239,wunu1234,61.362,63.087,5588.744,2966.991,40922,55.624,14928.503,0,0,0.0429993789075719
Mbabaram,Dharumbal,61,4,1.92307692307692,mbab1239,7063,mbab1239,dhar1248,999.702,999.329,8119.442,7357.914,11783,1047.093,5335.998,2,0.896860986547085,-0.511787924304418
Mbakwithi,Thaynakwith,41,1,0.469483568075117,angu1242,3289,angu1242,alng1239,155.035,150.188,3169.563,1801.522,579,104.11,589.486,0,0,1.73703636861606
Minjungbal,TweedRiverandPointDangar,79,1,0.476190476190476,minj1242,13053,minj1242,yuga1244,242.75,240.138,1696.561,1127.982,8168,236.182,1362.71,0,0,0.468793911544288
Mithaka,Karuwali,31,4,1.98019801980198,mith1236,28298,mith1236,karr1236,98.766,102.287,17367.947,14341.666,82515,168.312,14944.509,1,0.917431192660551,-1.07018896422177
Mudburra,MudburraMcC,16,6,1.66666666666667,mudb1240,124088,mudb1240,mudb1240,1,0,57692.667,43958.486,124088,1,43958.486,73,37.4358974358974,0
MudburraMcC,Mudburra,16,73,37.4358974358974,mudb1240,124088,mudb1240,mudb1240,1,0,57692.667,43958.486,124088,1,43958.486,6,1.66666666666667,0
