language_id,glottocode,glottolog_name,polygon_file,polygon_name,fuzzy_score,polygon_group
Kaurna,kaur1267,Kaurna,AustralianPolygons.kml,Kaurna,100,
Kayardild,kaya1319,Kayardild,AustralianPolygons.kml,Kayardild,100,
Kaytetye,kayt1238,Kaytetye,AustralianPolygons.kml,Kaytetye,100,
Keerraywoorroong,warr1257,Warrnambool,AustralianPolygons.kml,Warrnambool,100,
Keramin,nort2756,Northern Sunraysia,AustralianPolygons.kml,Keramin,100,
KingsCreekandtheGeorginaRiver,pitt1247,Pitta Pitta,AustralianPolygons.kml,Pitta-Pitta,100,
KokNar,kokn1236,Kok-Nar,SnappedLangs.gpkg,Koknar,100,
KokoBera,gugu1254,Gugubera,,,(63 for Gundungurra),
KuguNganhcara,wikn1246,Wikngenchera,AustralianPolygons.kml,Kugu Nganhcara,96,
Kukatj,guga1239,Gugadj,AustralianPolygons.kml,Kukatj,100,
Kukatja,kuka1246,Kukatja,AustralianPolygons.kml,Kukatja,100,
KukuWura,gugu1256,Roth's Gugu Warra,,,(52 for Kugu Nhanhcara),
KukuYalanji,kuku1273,Kuku-Yalanji,AustralianPolygons.kml,Kuku Yalanji,96,
Kungadutyi,ngur1261,Wilson River (Grey Range),,,(46 for Central Arrernte),
Kungkari,kuun1236,Kuungkari of Barcoo River,AustralianPolygons.kml,Kungkarri,94,
Kunjen,kunj1245,Kunjen,,,(57 for Ogunyjan),
Kurnu,darl1243,Paakantyi,AustralianPolygons.kml,Kurnu,100,
Kurrama,kurr1243,Kurrama,AustralianPolygons.kml,Kurrama,100,
Kurtjar,gurd1238,Gurdjar,AustralianPolygons.kml,Kurtjar,100,
KuukThaayorre,thay1249,Thayore,AustralianPolygons.kml,Kuuk Thaayorre,96,
KuukuYau,kuuk1238,Kuuku-Ya'u,AustralianPolygons.kml,Kuuku-Ya'u,100,
LakeHindmarsh,wotj1234,Wotjobaluk,AustralianPolygons.kml,Wotjobaluk,100,
Lardil,lard1243,Lardil,AustralianPolygons.kml,Lardil,100,
Linngithigh,leni1238,Linngithigh,AustralianPolygons.kml,Linngithigh,100,
LowerBurdekin,,,,,(48 for Larrakia),
Mabuiag,kala1377,Kala Lagaw Ya,AustralianPolygons.kml,Mabuiag,100,
Malgana,malg1242,Malgana,AustralianPolygons.kml,Malkana,86,
Malngin,maln1239,Malngin,AustralianPolygons.kml,Malngin,100,
Malyangapa,yarl1236,Yarli,AustralianPolygons.kml,Malyangapa,100,
MangalaMcK,mang1383,Mangala,AustralianPolygons.kml,Mangala,100,
MangalaNW,mang1383,Mangala,AustralianPolygons.kml,Mangala,88,
Manjiljarra,mart1256,Martu Wangka,AustralianPolygons.kml,Manjiljarra,100,
Margany,marg1253,Margany,AustralianPolygons.kml,Margany,100,
MartuWangka,many1256,Manyjilyjara,AustralianPolygons.kml,Manjiljarra,87,
Martuthunira,mart1255,Martuthunira,AustralianPolygons.kml,Martuthunira,100,
MaryRiverandBunyaBunyaCountry,kabi1260,Kabikabi,,,(62 for Wadikali),
MathiMathi,west2443,Western Victoria,AustralianPolygons.kml,MathiMathi,100,
MayiKulan,mayk1239,Maykulan,,,(67 for Yukulta),
MayiKutuna,maya1280,Mayaguduna,,,(67 for Gaagudju),
MayiThakurti,mayk1239,Maykulan,AustralianPolygons.kml,Mayi-Thakurti,96,
