name,fid,tessellate,extrude,visibility,layer,path,description
Wuthathi,89,1,0,-1,Northern (#5),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Northern (#5),
Mpalityan,90,1,0,-1,Northern (#5),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Northern (#5),Changed from Mpalitjanh
Mpakwithi,91,1,0,-1,Northern (#5),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Northern (#5),
Atampaya,92,1,0,-1,Northern (#5),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Northern (#5),
Angkamuthi,93,1,0,-1,Northern (#5),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Northern (#5),
Awngthim,94,1,0,-1,Northern (#5),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Northern (#5),
Gudang,95,1,0,-1,Northern (#5),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Northern (#5),
Luthigh,96,1,0,-1,Northern (#5),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Northern (#5),
Duungidjawu,97,1,0,-1,Waka-Kabi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Waka-Kabi,
WakaWaka,98,1,0,-1,Waka-Kabi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Waka-Kabi,
Guweng,99,1,0,-1,Waka-Kabi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Waka-Kabi,
Batyala,100,1,0,-1,Waka-Kabi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Waka-Kabi,
GoorengGooreng,101,1,0,-1,Waka-Kabi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Waka-Kabi,
Gubbi Gubbi,102,1,0,-1,Waka-Kabi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Waka-Kabi,
Yangman,103,1,0,-1,Wardaman,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Wardaman,
Wardaman,104,1,0,-1,Wardaman,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Wardaman,
Warluwarra,105,1,0,-1,Warluwarric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Warluwarric,
Dagoman,106,1,0,-1,Wardaman,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Wardaman,
Bularnu,107,1,0,-1,Warluwarric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Warluwarric,
Yanyuwa,108,1,0,-1,Warluwarric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Warluwarric,
Yindjilandji,109,1,0,-1,Warluwarric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Warluwarric,
Wakaya,110,1,0,-1,Warluwarric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Warluwarric,
Warumungu,111,1,0,-1,Warumungic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Western,
Wirangu,113,1,0,-1,Thura-Yura,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Thura-Yura,
Guyani,114,1,0,-1,Thura-Yura,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Thura-Yura,
Guwar,115,1,0,-1,Turubulic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Turubulic,
Nunukal,116,1,0,-1,Turubulic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Turubulic,"Related to yagara, given by Tindale as the name of the Northern group of Stradbroke Island. (changed from Nukunul to Nunukal per Bill Pascoe)"
Yagara,117,1,0,-1,Turubulic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Turubulic,
Turrbul,119,1,0,-1,Turubulic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Turubulic,
Janday,120,1,0,-1,Turubulic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Turubulic,"Djindewal, Jandai"
Umbugarla,121,1,0,-1,Umbugarlan,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Umbugarlan,
Ngaduk,122,1,0,-1,Umbugarlan,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Umbugarlan,"In Birch's 2006 map, Ngaduk is also shown on the Western side of the river, north of Gonbudj."
