ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,xd_ids,Glottolog_Name
Yandruwandha,Yandruwandha,,-28.4744,140.583,yand1253,,,Yandruwandha
Yangarella,Yangarella,,-16.74,138.023,nyan1300,,,Yangkaal
Yangkaal,Yangkaal,,-16.74,138.023,nyan1300,,,Yangkaal
Yannhangu,Yannhangu,,-12.0853,134.877,yann1237,,,Nhangu
Yanyuwa,Yanyuwa,,-15.7621,136.055,yany1243,,,Yanyuwa
Yardliyawarra,Yardliyawarra,,-29.49049805,140.9591946,yarl1236,,,Yarli
Yarluyandi,Yarluyandi,,-25.83705,139.58436,yarl1238,,,Yarluyandi
Yawarrawarrka,Yawarrawarrka,,-26.7334,140.871,yawa1258,,,Yawarawarga
Yaygirr,Yaygirr,,-29.686722970453,153.18784362556,yayg1236,,,Yaygir
Yidiny,Yidiny,,-17.1332,145.876,yidi1250,,,Yidiñ
Yindjibarndi,Yindjibarndi,,-21.5379,117.001,yind1247,,,Yindjibarndi
Yindjilandji,Yindjilandji,,-19.24252,137.5894,yind1248,,,Yindjilandji
Yingkarta,Yingkarta,,-25.4446,115.58,ying1247,,,Yinggarda
Yinhawangka,Yinhawangka,,-22.7816,118.723,pany1241,,,Panytyima
Yiningay,Yiningay,,-25.192664,147.273359,bidy1243,,,Bidyara
Yinwum,Yinwum,,-12.52068956,142.7036225,yinw1236,,,Yinwum
YirYoront,YirYoront,,-15.1117,141.767,yiry1245,,,Yir-Yoront
Yirandali,Yirandali,,-20.65810118,143.9625916,yira1239,,,Yirandhali
YithaYitha,YithaYitha,,-33.89,144.22,yith1234,,,Yitha Yitha
YortaYorta,YortaYorta,,-35.9,145.01,yort1237,,,Yorta Yorta
Yugambeh,Yugambeh,,,,yugu1249,,,Yugumbir
Yugarabul,Yugarabul,,-27.87647555,152.4602773,yaga1256,,,Yagara-Jandai
Yulparija,Yulparija,,,,yulp1238,,,Yulparitja
Yuwaalaraay,Yuwaalaraay,,-29.9037,149.543,gami1243,,xd970,Yuwaalaraay-Gamilaraay
Zorc,Zorc,,-12.7825,136.008,dhuw1249,,,Dhuwal
